# English source<TAB>French Canadian translation. Authored for The Zebes Project.
Language	Langue
Invalid world catalog fingerprint	L'empreinte du catalogue du monde est invalide.
World capabilities and door data disagree	Les fonctions du monde ne correspondent pas aux données de portes.
Invalid initial-door contract	Les données de portes initiales sont invalides.
Initial doors do not match this start	Les portes initiales ne correspondent pas à ce point de départ.
Initial door bits disagree with VARIA	L'état des portes initiales ne correspond pas à VARIA.
Invalid ordered world patches	L'ordre des modifications du monde est invalide.
Door indicator capability and data disagree	Les fonctions d'indicateurs de portes ne correspondent pas aux données.
Missing native door indicators	Les indicateurs de portes natifs sont absents.
Invalid native door indicator	Un indicateur de porte natif est invalide.
Routing capability and topology disagree	Les fonctions de connexions ne correspondent pas au réseau de salles.
Unexpected native routing table	La table de connexions natives est inattendue.
Invalid native Minimizer routing or membership	Les connexions ou les salles incluses dans le Minimizer natif sont invalides.
Invalid native area connection contract	Les données de connexions natives entre régions sont invalides.
Invalid area catalog fingerprint	L'empreinte du catalogue de régions est invalide.
Invalid area destination table	La table des destinations de régions est invalide.
Invalid reciprocal area routing	Les connexions aller-retour entre régions sont invalides.
Malformed area graph pair	Une paire de connexions du réseau de régions est mal formée.
Area graph disagrees with native doors	Le réseau de régions ne correspond pas aux portes natives.
Invalid native boss connection contract	Les données de connexions natives des boss sont invalides.
Invalid boss catalog fingerprint	L'empreinte du catalogue de boss est invalide.
Invalid boss destination table	La table des destinations de boss est invalide.
Invalid reciprocal boss routing	Les connexions aller-retour des boss sont invalides.
Malformed boss graph pair	Une paire de connexions du réseau de boss est mal formée.
Boss graph disagrees with native doors	Le réseau de boss ne correspond pas aux portes natives.
Beam indicators require native colored doors	Les indicateurs de rayons exigent les portes colorées natives.
Door-color capability and data disagree	Les fonctions de couleur des portes ne correspondent pas aux données.
Invalid native door-color contract	Les données natives de couleur des portes sont invalides.
Invalid door-color catalog fingerprint	L'empreinte du catalogue de couleurs de portes est invalide.
Native and tracker door requirements disagree	Les conditions des portes natives diffèrent de celles du suivi.
Animals capability and data disagree	Les fonctions liées aux animaux ne correspondent pas aux données.
Invalid Animals Surprise contract	Les données du mode Animaux surprise sont invalides.
Animals enabled without a native plan	Les animaux sont activés sans plan natif.
Scavenger capability and data disagree	Les fonctions de chasse ordonnée ne correspondent pas aux données.
Invalid native Scavenger contract	Les données natives de chasse ordonnée sont invalides.
Invalid Scavenger location	Un emplacement de chasse ordonnée est invalide.
Scavenger location identities disagree	Les identifiants des emplacements de chasse ordonnée ne correspondent pas.
Missing escape dependency	Une condition de fuite est absente.
Missing escape graph edge	Une connexion du réseau de fuite est absente.
Escape graph disagrees with native doors	Le réseau de fuite ne correspond pas aux portes natives.
Fast Tourian requires native objectives	Le Tourian abrégé exige les objectifs natifs.
Objective capability and data disagree	Les fonctions d'objectifs ne correspondent pas aux données.
Incompatible native objective completion mode	Le mode de victoire des objectifs natifs est incompatible.
Tourian capability and objective contract disagree	Les fonctions de Tourian ne correspondent pas aux données d'objectifs.
Effective objective summary disagrees	Le résumé des objectifs appliqués ne correspond pas.
Effective objective names disagree	Les noms des objectifs appliqués ne correspondent pas.
Escape objective contract disagrees	Les données d'objectifs de fuite ne correspondent pas.
Minimizer objective membership disagrees	Les objectifs inclus dans le Minimizer ne correspondent pas.
Scavenger objective order disagrees	L'ordre des objectifs de chasse ordonnée ne correspond pas.
Relic seed has no completion quota	La seed de reliques n'a pas de quota de victoire.
Invalid tracker contract	Les données de suivi sont invalides.
Tracker Scavenger capability disagrees	Les fonctions de chasse ordonnée du suivi ne correspondent pas.
Tracker Scavenger order disagrees	L'ordre de chasse ordonnée du suivi ne correspond pas.
Tracker objective capability disagrees	Les fonctions d'objectifs du suivi ne correspondent pas.
Tracker and native objective rules disagree	Les règles d'objectifs du suivi diffèrent des règles natives.
Boss tracker has no world connections	Le suivi des boss n'a pas de connexions au monde.
Tracker topology disagrees with native world	Le réseau de salles du suivi diffère du monde natif.
Tracker has no matching initial doors	Le suivi n'a pas de portes initiales correspondantes.
Tracker initial door bits disagree	L'état des portes initiales du suivi ne correspond pas.
Missing colored-door tracker contract	Les données de suivi des portes colorées sont absentes.
Tracker door-color contract disagrees	Les données de suivi des couleurs de portes ne correspondent pas.
Tracker door requirements disagree	Les conditions des portes du suivi ne correspondent pas.
Missing escape tracker topology	Le réseau de fuite du suivi est absent.
Escape tracker disagrees	Le suivi de fuite ne correspond pas.
Tracker locations disagree with the native seed	Les emplacements du suivi diffèrent de ceux de la seed native.
Tracker pickup kind disagrees with native seed	Le type d'objet du suivi diffère de celui de la seed native.
Native world plan requires its tracker contract	Le plan du monde natif exige ses données de suivi.
Cannot stage seed	Impossible de préparer la seed.
Continue	Continuer
Settings must be an object.	Les paramètres doivent former un objet.
Seed number: leave it blank or enter a number from 1 to 2147483647.	Numéro de seed : laissez le champ vide ou entrez un nombre de 1 à 2147483647.
Gameplay patches: unknown or duplicate patch selection.	Modifications du jeu : la sélection contient une modification inconnue ou répétée.
Random choices are checked again after they are drawn during generation.	Les choix aléatoires sont vérifiés de nouveau après leur tirage pendant la génération.
Tourian must be Vanilla	Tourian doit être classique
Escape randomization must be off	la randomisation de la fuite doit être désactivée
Item split cannot be Scavenger	la répartition des objets ne peut pas être Chasse ordonnée
Chozo Relic Hunt: {0}. Change that setting or disable the tablet hunt.	Chasse aux reliques Chozo : {0}. Modifiez ce paramètre ou désactivez la chasse aux tablettes.
Selected objectives: at most {0} can be active.	Objectifs choisis : un maximum de {0} objectifs peuvent être actifs.
Objective "{0}" conflicts with the current selection ({1}) or the selected start / Tourian mode. Remove the conflicting objective or adjust World & escape.	L'objectif « {0} » est incompatible avec la sélection actuelle ({1}), le point de départ ou le mode de Tourian. Retirez cet objectif ou ajustez les paramètres de Monde et fuite.
{0} / {1}: even with full equipment and ample ammo, VARIA rates this fight {2}, above Maximum difficulty / {3}. Raise Maximum difficulty or change this boss tolerance.	{0} / {1} : même avec tout l'équipement et beaucoup de munitions, VARIA évalue ce combat à {2}, au-delà de Difficulté maximale / {3}. Augmentez la difficulté maximale ou modifiez la tolérance pour ce boss.
Settings check failed: {0}: {1}	La vérification des paramètres a échoué : {0} : {1}
Invalid setting: {0}	Paramètre invalide : {0}
Native settings validator unavailable. Rebuild the native module.	Le vérificateur natif de paramètres n'est pas disponible. Recompilez le module natif.
Settings check unavailable. Update the native module before creating a game.	La vérification des paramètres n'est pas disponible. Mettez à jour le module natif avant de créer une partie.
Invalid settings-check response.	La réponse de vérification des paramètres est invalide.
Invalid settings-check issue.	Un résultat de vérification des paramètres est invalide.
New Game+ from SAMUS {0}	Nouvelle partie+ depuis SAMUS {0}
Seed {0}  /  Awaiting Generate Game	Seed {0}  /  En attente de génération
Samus {0} settings copied. Seed: {1}.	Paramètres de Samus {0} copiés. Seed : {1}.
Reloaded painted scenery: {0} tiles.	Décor peint rechargé : {0} tuiles.
unreachable	inaccessible
Unsupported skill preset	Le profil de techniques n'est pas pris en charge.
Unsupported progression	Le mode de progression n'est pas pris en charge.
Relic quota must satisfy 1 <= required <= placed <= 60	Le quota de reliques doit respecter : 1 ≤ requises ≤ placées ≤ 60.
Tablet escape time must be 3, 5, 6, 7 or 10 minutes	Le temps de fuite des tablettes doit être de 3, 5, 6, 7 ou 10 minutes.
Chozo Relic Hunt already bypasses Tourian	La chasse aux reliques Chozo permet déjà d'éviter Tourian.
Chozo Relic Hunt uses its own quota escape; VARIA escape route randomization cannot be combined	La chasse aux reliques Chozo utilise sa propre fuite au quota; elle ne peut pas être combinée à la randomisation du trajet de fuite de VARIA.
Chozo Relic Hunt and Scavenger are separate completion modes	La chasse aux reliques Chozo et la chasse ordonnée sont deux modes de victoire distincts.
TEN ENEMIES DEFEATED	DIX ENNEMIS VAINCUS
NEW UPGRADE	NOUVEL ÉQUIPEMENT
F1 Help | F2 Effects | F3 Opacity | F4 System menu | F5 Parallax | F6 Lighten/Multiply | F7 Depth | F8 Relief | F9 Weather | F10 Teleport	F1 Aide | F2 Effets | F3 Opacité | F4 Menu système | F5 Parallaxe | F6 Éclaircir/Multiplier | F7 Profondeur | F8 Relief | F9 Météo | F10 Téléportation
F11 Full screen | Ctrl+F11 Wide/4:3 | F12 Wall Jump assist | Shift+F12 Space Jump assist	F11 Plein écran | Ctrl+F11 Large/4:3 | F12 Aide au saut mural | Maj+F12 Aide au saut spatial
Arrows: move | Z: jump | X: run | S: shoot | C: cancel item | A/D: aim	Flèches : bouger | Z : sauter | X : courir | S : tirer | C : annuler l'objet | A/D : viser
Right Shift: select item | Enter: Start | P: pause | Escape: system menu	Maj droite : choisir l'objet | Entrée : Start | P : pause | Échap : menu système
Choose a destination	Choisissez une destination
Up/Down: select   Enter/Z: travel   Escape/F10: close	Haut/Bas : choisir   Entrée/Z : partir   Échap/F10 : fermer
Wait for the current action to finish, then try again.	Attendez la fin de l'action en cours, puis réessayez.
Crateria - Ship / rain	Crateria - Vaisseau / pluie
Crateria - Indoor refuge	Crateria - Refuge intérieur
Brinstar - Green shaft	Brinstar - Puits vert
Norfair - Heated caverns	Norfair - Cavernes chaudes
Norfair - Lower entrance	Norfair - Entrée des profondeurs
Maridia - West	Maridia - Ouest
Maridia - East	Maridia - Est
Wrecked Ship - Main hall	Épave - Hall principal
SUPER METROID STAFF	ÉQUIPE DE SUPER METROID
PRODUCER	PRODUCTION
DIRECTOR	RÉALISATION
BACK GROUND DESIGNERS	CONCEPTION DES DÉCORS
OBJECT DESIGNERS	CONCEPTION DES ÉLÉMENTS
SAMUS ORIGINAL DESIGNER	CONCEPTION ORIGINALE DE SAMUS
SAMUS DESIGNER	CONCEPTION DE SAMUS
SOUND PROGRAM	PROGRAMMATION AUDIO
AND SOUND EFFECTS	ET EFFETS SONORES
MUSIC COMPOSERS	COMPOSITION MUSICALE
PROGRAM DIRECTOR	DIRECTION DE LA PROGRAMMATION
SYSTEM COORDINATOR	COORDINATION DU SYSTÈME
SYSTEM PROGRAMMER	PROGRAMMATION DU SYSTÈME
SAMUS PROGRAMMER	PROGRAMMATION DE SAMUS
EVENT PROGRAMMER	PROGRAMMATION DES ÉVÉNEMENTS
ENEMY PROGRAMMER	PROGRAMMATION DES ENNEMIS
MAP PROGRAMMER	PROGRAMMATION DES CARTES
ASSISTANT PROGRAMMER	PROGRAMMATION ADJOINTE
COORDINATORS	COORDINATION
PRINTED ART WORK	ILLUSTRATIONS IMPRIMÉES
SPECIAL THANKS TO	REMERCIEMENTS PARTICULIERS
GENERAL MANAGER	DIRECTION GÉNÉRALE
VARIA RANDOMIZER STAFF	ÉQUIPE DU RANDOMIZER VARIA
ORIGINAL ITEM RANDOMIZERS	RANDOMIZERS D'OBJETS ORIGINAUX
CONTRIBUTORS	COLLABORATION
ROTATED SUPER METROID HACKS	MODIFICATIONS DE ZEBES TOURNÉE
MAP OVERHAUL PATCH	MODIFICATION DES CARTES
SUPER METROID DISASSEMBLY	DÉSASSEMBLAGE DE SUPER METROID
DEBUG TOOLS	OUTILS DE DÉBOGAGE
Destination: {0}	Destination : {0}
{0}: {1}	{0} : {1}
Assisted	Assisté
Gaussian layer: {0} | {1} | Opacity: {2}% | Brightness: {3}% | Depth: {4} | Relief: {5} | Weather: {6}	Calque gaussien : {0} | {1} | Opacité : {2}% | Luminosité : {3}% | Profondeur : {4} | Relief : {5} | Météo : {6}
Up	Dossier parent
Go	Ouvrir
control	commande
label	action
Tracker module unavailable	Module de suivi indisponible
Incomplete effective seed rules	Règles effectives de la seed incomplètes
Incomplete tracker response	Réponse du suivi incomplète
Invalid check identity/state	Identité ou état d'emplacement invalide
Invalid encounter identity/state	Identité ou état de combat invalide
Invalid tracker response	Réponse du suivi invalide
Live — native inventory / effective seed rules	En direct — inventaire du jeu / règles effectives de la seed
Missing effective seed rules	Règles effectives de la seed manquantes
Missing encounter states	États des combats manquants
Tracker interpreter failed	Échec de l'interpréteur du suivi
Updating reachability...	Mise à jour de l'accessibilité...
Native library is missing. Reinstall the game.	Bibliothèque native introuvable. Réinstallez le jeu.
Easy	Facile
Medium	Moyenne
Hard	Difficile
Hardcore	Extrême
Mania	Insensée
Samus	Samus
Gamepad Face Button Bottom	Bouton du bas (A / Croix)
Gamepad Face Button Right	Bouton droit (B / Cercle)
Gamepad Face Button Left	Bouton gauche (X / Carré)
Gamepad Face Button Top	Bouton du haut (Y / Triangle)
Gamepad Special Left	Select / Partage
Gamepad Special Right	Start / Options
Gamepad Left Shoulder	Gâchette supérieure gauche (LB / L1)
Gamepad Right Shoulder	Gâchette supérieure droite (RB / R1)
Gamepad Left Trigger	Gâchette gauche (LT / L2)
Gamepad Right Trigger	Gâchette droite (RT / R2)
Gamepad Left Trigger Threshold	Gâchette gauche (LT / L2)
Gamepad Right Trigger Threshold	Gâchette droite (RT / R2)
Gamepad Left Thumbstick	Clic du levier gauche (L3)
Gamepad Right Thumbstick	Clic du levier droit (R3)
Gamepad D-pad Up	Croix directionnelle : haut
Gamepad D-pad Down	Croix directionnelle : bas
Gamepad D-pad Left	Croix directionnelle : gauche
Gamepad D-pad Right	Croix directionnelle : droite
Right Shift	Maj droite
Left Shift	Maj gauche
Left Ctrl	Ctrl gauche
Right Ctrl	Ctrl droite
Left Alt	Alt gauche
Right Alt	Alt droite
Space Bar	Barre d’espacement
Enter	Entrée
Escape	Échap
Down	Bas
Left	Gauche
Right	Droite
Backspace	Retour arrière
Delete	Suppr
Insert	Inser
Page Up	Page précédente
Page Down	Page suivante
End	Fin
Tab	Tabulation
Caps Lock	Verr. maj.
Num Lock	Verr. num.
Scroll Lock	Arrêt défil.
Invalid	Aucune
